<<<<<<< HEAD
large-236.in, room size 1, no solution
large-103.in, room size 4, no solution
large-103.in, room size 5, no solution
large-103.in, room size 6, no solution
large-103.in, room size 7, solution found
large-103.in, room size 8, no solution
large-103.in, room size 9, no solution
large-103.in, room size 10, no solution
large-103.in, room size 11, solution found
large-103.in, room size 12, solution found
large-103.in, room size 13, solution found
large-103.in, room size 14, solution found
large-103.in, room size 15, solution found
large-103.in, room size 16, solution found
large-103.in, room size 17, solution found
large-103.in, room size 18, solution found
large-103.in, room size 19, solution found
large-103.in, room size 20, solution found
large-103.in, room size 21, solution found
large-103.in, room size 22, solution found
large-103.in, room size 23, solution found
large-103.in, room size 24, solution found
large-103.in, room size 25, solution found
large-103.in, room size 26, solution found
large-103.in, room size 27, solution found
large-103.in, room size 28, solution found
large-103.in, room size 29, solution found
large-103.in, room size 30, solution found
large-103.in, room size 31, solution found
large-103.in, room size 32, solution found
large-103.in, room size 33, solution found
large-103.in, room size 34, solution found
large-103.in, room size 35, solution found
large-103.in, room size 36, solution found
large-103.in, room size 37, solution found
large-103.in, room size 38, solution found
large-103.in, room size 39, solution found
large-103.in, room size 40, solution found
large-103.in, room size 41, solution found
large-103.in, room size 42, solution found
large-103.in, room size 43, solution found
large-103.in, room size 44, solution found
large-103.in, room size 45, solution found
large-103.in, room size 46, solution found
large-103.in, room size 47, solution found
large-103.in, room size 48, solution found
large-103.in, room size 49, solution found
large-103.in, room size 50, solution found
large-103.in 11570.652999999998
 
-5342.310273885727
large-108.in, room size 1, no solution
large-108.in, room size 2, no solution
large-108.in, room size 3, no solution
large-108.in, room size 4, no solution
large-108.in, room size 5, no solution
large-108.in, room size 6, no solution
large-108.in, room size 7, no solution
large-108.in, room size 8, no solution
large-108.in, room size 9, no solution
large-108.in, room size 10, no solution
large-108.in, room size 11, no solution
large-108.in, room size 12, no solution
large-108.in, room size 13, no solution
large-108.in, room size 14, no solution
large-108.in, room size 15, no solution
large-108.in, room size 16, solution found
large-108.in, room size 17, solution found
large-108.in, room size 18, solution found
large-108.in, room size 19, solution found
large-108.in, room size 20, solution found
large-108.in, room size 21, solution found
large-108.in, room size 22, solution found
large-108.in, room size 23, solution found
large-108.in, room size 24, solution found
large-108.in, room size 25, solution found
large-108.in, room size 26, solution found
large-108.in, room size 27, solution found
large-108.in, room size 28, solution found
large-108.in, room size 29, solution found
large-108.in, room size 30, solution found
large-108.in, room size 31, solution found
large-108.in, room size 32, solution found
large-108.in, room size 33, solution found
large-108.in, room size 34, solution found
large-108.in, room size 35, solution found
large-108.in, room size 36, solution found
large-108.in, room size 37, solution found
large-108.in, room size 38, solution found
large-108.in, room size 39, solution found
large-108.in, room size 40, solution found
large-108.in, room size 41, solution found
large-108.in, room size 42, solution found
large-108.in, room size 43, solution found
large-108.in, room size 44, solution found
large-108.in, room size 45, solution found
large-108.in, room size 46, solution found
large-108.in, room size 47, solution found
large-108.in, room size 48, solution found
large-108.in, room size 49, solution found
large-108.in, room size 50, solution found
large-108.in 1350.0
 
-6078.091638803482
large-102.in, room size 1, no solution
large-102.in, room size 2, no solution
large-102.in, room size 3, no solution
large-102.in, room size 4, no solution
large-102.in, room size 5, no solution
large-102.in, room size 6, no solution
large-102.in, room size 7, no solution
large-102.in, room size 8, no solution
large-102.in, room size 9, no solution
large-102.in, room size 10, no solution
large-102.in, room size 11, no solution
large-102.in, room size 12, no solution
large-102.in, room size 13, no solution
large-102.in, room size 14, no solution
large-102.in, room size 15, no solution
large-102.in, room size 16, no solution
large-102.in, room size 17, no solution
large-102.in, room size 18, no solution
large-102.in, room size 19, no solution
large-102.in, room size 20, no solution
large-102.in, room size 21, no solution
large-102.in, room size 22, no solution
large-102.in, room size 23, no solution
large-102.in, room size 24, no solution
large-102.in, room size 25, solution found
large-102.in, room size 26, solution found
large-102.in, room size 27, solution found
large-102.in, room size 28, solution found
large-102.in, room size 29, solution found
large-102.in, room size 30, solution found
large-102.in, room size 31, solution found
large-102.in, room size 32, solution found
large-102.in, room size 33, solution found
large-102.in, room size 34, solution found
large-102.in, room size 35, solution found
large-102.in, room size 36, solution found
large-102.in, room size 37, solution found
large-102.in, room size 38, solution found
large-102.in, room size 39, solution found
large-102.in, room size 40, solution found
large-102.in, room size 41, solution found
large-102.in, room size 42, solution found
large-102.in, room size 43, solution found
large-102.in, room size 44, solution found
large-102.in, room size 45, solution found
large-102.in, room size 46, solution found
large-102.in, room size 47, solution found
large-102.in, room size 48, solution found
large-102.in, room size 49, solution found
large-102.in, room size 50, solution found
large-102.in 125.0
 
-5812.182336330414
large-229.in, room size 1, no solution
large-229.in, room size 2, no solution
large-229.in, room size 3, no solution
large-229.in, room size 4, no solution
large-229.in, room size 5, solution found
large-229.in, room size 6, no solution
large-229.in, room size 7, solution found
large-229.in, room size 8, solution found
large-229.in, room size 9, solution found
large-229.in, room size 10, solution found
large-229.in, room size 11, solution found
large-229.in, room size 12, solution found
large-229.in, room size 13, solution found
large-229.in, room size 14, solution found
large-229.in, room size 15, solution found
large-229.in, room size 16, solution found
large-229.in, room size 17, solution found
large-229.in, room size 18, solution found
large-229.in, room size 19, solution found
large-229.in, room size 20, solution found
large-229.in, room size 21, solution found
large-229.in, room size 22, solution found
large-229.in, room size 23, solution found
large-229.in, room size 24, solution found
large-229.in, room size 25, solution found
large-229.in, room size 26, solution found
large-229.in, room size 27, solution found
large-229.in, room size 28, solution found
large-229.in, room size 29, solution found
large-229.in, room size 30, solution found
large-229.in, room size 31, solution found
large-229.in, room size 32, solution found
large-229.in, room size 33, solution found
large-229.in, room size 34, solution found
large-229.in, room size 35, solution found
large-229.in, room size 36, solution found
large-229.in, room size 37, solution found
large-229.in, room size 38, solution found
large-229.in, room size 39, solution found
large-229.in, room size 40, solution found
large-229.in, room size 41, solution found
large-229.in, room size 42, solution found
large-229.in, room size 43, solution found
large-229.in, room size 44, solution found
large-229.in, room size 45, solution found
large-229.in, room size 46, solution found
large-229.in, room size 47, solution found
large-229.in, room size 48, solution found
large-229.in, room size 49, solution found
large-229.in, room size 50, solution found
large-229.in 1581.623
 
-6130.04280257225
large-119.in, room size 1, no solution
large-119.in, room size 2, no solution
large-119.in, room size 3, solution found
large-119.in, room size 4, solution found
large-119.in, room size 5, solution found
large-119.in, room size 6, solution found
large-119.in, room size 7, solution found
large-119.in, room size 8, solution found
large-119.in, room size 9, solution found
large-119.in, room size 10, solution found
large-119.in, room size 11, solution found
large-119.in, room size 12, solution found
large-119.in, room size 13, solution found
large-119.in, room size 14, solution found
large-119.in, room size 15, solution found
large-119.in, room size 16, solution found
large-119.in, room size 17, solution found
large-119.in, room size 18, solution found
large-119.in, room size 19, solution found
large-119.in, room size 20, solution found
large-119.in, room size 21, solution found
large-119.in, room size 22, solution found
large-119.in, room size 23, solution found
large-119.in, room size 24, solution found
large-119.in, room size 25, solution found
large-119.in, room size 26, solution found
large-119.in, room size 27, solution found
large-119.in, room size 28, solution found
large-119.in, room size 29, solution found
large-119.in, room size 30, solution found
large-119.in, room size 31, solution found
large-119.in, room size 32, solution found
large-119.in, room size 33, solution found
large-119.in, room size 34, solution found
large-119.in, room size 35, solution found
large-119.in, room size 36, solution found
large-119.in, room size 37, solution found
large-119.in, room size 38, solution found
large-119.in, room size 39, solution found
large-119.in, room size 40, solution found
large-119.in, room size 41, solution found
large-119.in, room size 42, solution found
large-119.in, room size 43, solution found
large-119.in, room size 44, solution found
large-119.in, room size 45, solution found
large-119.in, room size 46, solution found
large-119.in, room size 47, solution found
large-119.in, room size 48, solution found
large-119.in, room size 49, solution found
large-119.in, room size 50, solution found
large-119.in 2507.0
 
-6293.843070268631
large-228.in, room size 1, no solution
large-228.in, room size 2, no solution
large-228.in, room size 3, no solution
large-228.in, room size 4, no solution
large-228.in, room size 5, no solution
large-228.in, room size 6, no solution
large-228.in, room size 7, no solution
large-228.in, room size 8, no solution
large-228.in, room size 9, solution found
large-228.in, room size 10, solution found
large-228.in, room size 11, solution found
large-228.in, room size 12, solution found
large-228.in, room size 13, solution found
large-228.in, room size 14, solution found
large-228.in, room size 15, solution found
large-228.in, room size 16, solution found
large-228.in, room size 17, solution found
large-228.in, room size 18, solution found
large-228.in, room size 19, solution found
large-228.in, room size 20, solution found
large-228.in, room size 21, solution found
large-228.in, room size 22, solution found
large-228.in, room size 23, solution found
large-228.in, room size 24, solution found
large-228.in, room size 25, solution found
large-228.in, room size 26, solution found
large-228.in, room size 27, solution found
large-228.in, room size 28, solution found
large-228.in, room size 29, solution found
large-228.in, room size 30, solution found
large-228.in, room size 31, solution found
large-228.in, room size 32, solution found
large-228.in, room size 33, solution found
large-228.in, room size 34, solution found
large-228.in, room size 35, solution found
large-228.in, room size 36, solution found
large-228.in, room size 37, solution found
large-228.in, room size 38, solution found
large-228.in, room size 39, solution found
large-228.in, room size 40, solution found
large-228.in, room size 41, solution found
large-228.in, room size 42, solution found
large-228.in, room size 43, solution found
large-228.in, room size 44, solution found
large-228.in, room size 45, solution found
large-228.in, room size 46, solution found
large-228.in, room size 47, solution found
large-228.in, room size 48, solution found
large-228.in, room size 49, solution found
large-228.in, room size 50, solution found
large-228.in 115.0
 
-6201.282171964645
large-104.in, room size 1, no solution
large-104.in, room size 2, no solution
large-104.in, room size 3, no solution
large-104.in, room size 4, no solution
large-104.in, room size 5, no solution
large-104.in, room size 6, no solution
large-104.in, room size 7, no solution
large-104.in, room size 8, no solution
large-104.in, room size 9, no solution
large-104.in, room size 10, no solution
large-104.in, room size 11, no solution
large-104.in, room size 12, solution found
large-104.in, room size 13, solution found
large-104.in, room size 14, solution found
large-104.in, room size 15, solution found
large-104.in, room size 16, solution found
large-104.in, room size 17, solution found
large-104.in, room size 18, solution found
large-104.in, room size 19, solution found
large-104.in, room size 20, solution found
large-104.in, room size 21, solution found
large-104.in, room size 22, solution found
large-104.in, room size 23, solution found
large-104.in, room size 24, solution found
large-104.in, room size 25, solution found
large-104.in, room size 26, solution found
large-104.in, room size 27, solution found
large-104.in, room size 28, solution found
large-104.in, room size 29, solution found
large-104.in, room size 30, solution found
large-104.in, room size 31, solution found
large-104.in, room size 32, solution found
large-104.in, room size 33, solution found
large-104.in, room size 34, solution found
large-104.in, room size 35, solution found
large-104.in, room size 36, solution found
large-104.in, room size 37, solution found
large-104.in, room size 38, solution found
large-104.in, room size 39, solution found
large-104.in, room size 40, solution found
large-104.in, room size 41, solution found
large-104.in, room size 42, solution found
large-104.in, room size 43, solution found
large-104.in, room size 44, solution found
large-104.in, room size 45, solution found
large-104.in, room size 46, solution found
large-104.in, room size 47, solution found
large-104.in, room size 48, solution found
large-104.in, room size 49, solution found
large-104.in, room size 50, solution found
large-104.in 2768.5389999999998
 
-6260.7089812755585
large-234.in, room size 1, no solution
large-234.in, room size 2, no solution
large-234.in, room size 3, no solution
large-234.in, room size 4, no solution
large-234.in, room size 5, no solution
large-234.in, room size 6, no solution
large-234.in, room size 7, no solution
large-234.in, room size 8, no solution
large-234.in, room size 9, no solution
large-234.in, room size 10, no solution
large-234.in, room size 11, no solution
large-234.in, room size 12, no solution
large-234.in, room size 13, no solution
large-234.in, room size 14, solution found
large-234.in, room size 15, solution found
large-234.in, room size 16, solution found
large-234.in, room size 17, solution found
large-234.in, room size 18, solution found
large-234.in, room size 19, solution found
large-234.in, room size 20, solution found
large-234.in, room size 21, solution found
large-234.in, room size 22, solution found
large-234.in, room size 23, solution found
large-234.in, room size 24, solution found
large-234.in, room size 25, solution found
large-234.in, room size 26, solution found
large-234.in, room size 27, solution found
large-234.in, room size 28, solution found
large-234.in, room size 29, solution found
large-234.in, room size 30, solution found
large-234.in, room size 31, solution found
large-234.in, room size 32, solution found
large-234.in, room size 33, solution found
large-234.in, room size 34, solution found
large-234.in, room size 35, solution found
large-234.in, room size 36, solution found
large-234.in, room size 37, solution found
large-234.in, room size 38, solution found
large-234.in, room size 39, solution found
large-234.in, room size 40, solution found
large-234.in, room size 41, solution found
large-234.in, room size 42, solution found
large-234.in, room size 43, solution found
large-234.in, room size 44, solution found
large-234.in, room size 45, solution found
large-234.in, room size 46, solution found
large-234.in, room size 47, solution found
large-234.in, room size 48, solution found
large-234.in, room size 49, solution found
large-234.in, room size 50, solution found
large-234.in 208.89
 
-6133.595024347305
large-223.in, room size 1, no solution
large-223.in, room size 2, no solution
large-223.in, room size 3, no solution
large-223.in, room size 4, no solution
large-223.in, room size 5, no solution
large-223.in, room size 6, no solution
large-223.in, room size 7, no solution
large-223.in, room size 8, no solution
large-223.in, room size 9, no solution
large-223.in, room size 10, no solution
large-223.in, room size 11, no solution
large-223.in, room size 12, no solution
large-223.in, room size 13, no solution
large-223.in, room size 14, solution found
large-223.in, room size 15, solution found
large-223.in, room size 16, solution found
large-223.in, room size 17, solution found
large-223.in, room size 18, solution found
large-223.in, room size 19, solution found
large-223.in, room size 20, solution found
large-223.in, room size 21, solution found
large-223.in, room size 22, solution found
large-223.in, room size 23, solution found
large-223.in, room size 24, solution found
large-223.in, room size 25, solution found
large-223.in, room size 26, solution found
large-223.in, room size 27, solution found
large-223.in, room size 28, solution found
large-223.in, room size 29, solution found
large-223.in, room size 30, solution found
large-223.in, room size 31, solution found
large-223.in, room size 32, solution found
large-223.in, room size 33, solution found
large-223.in, room size 34, solution found
large-223.in, room size 35, solution found
large-223.in, room size 36, solution found
large-223.in, room size 37, solution found
large-223.in, room size 38, solution found
large-223.in, room size 39, solution found
large-223.in, room size 40, solution found
large-223.in, room size 41, solution found
large-223.in, room size 42, solution found
large-223.in, room size 43, solution found
large-223.in, room size 44, solution found
large-223.in, room size 45, solution found
large-223.in, room size 46, solution found
large-223.in, room size 47, solution found
large-223.in, room size 48, solution found
large-223.in, room size 49, solution found
large-223.in, room size 50, solution found
large-223.in 2710.52
 
-6178.259369850159
large-100.in, room size 1, no solution
large-100.in, room size 2, no solution
large-100.in, room size 3, no solution
large-100.in, room size 4, no solution
large-100.in, room size 5, solution found
large-100.in, room size 6, solution found
large-100.in, room size 7, solution found
large-100.in, room size 8, solution found
large-100.in, room size 9, solution found
large-100.in, room size 10, solution found
large-100.in, room size 11, solution found
large-100.in, room size 12, solution found
large-100.in, room size 13, solution found
large-100.in, room size 14, solution found
large-100.in, room size 15, solution found
large-100.in, room size 16, solution found
large-100.in, room size 17, solution found
large-100.in, room size 18, solution found
large-100.in, room size 19, solution found
large-100.in, room size 20, solution found
large-100.in, room size 21, solution found
large-100.in, room size 22, solution found
large-100.in, room size 23, solution found
large-100.in, room size 24, solution found
large-100.in, room size 25, solution found
large-100.in, room size 26, solution found
large-100.in, room size 27, solution found
large-100.in, room size 28, solution found
large-100.in, room size 29, solution found
large-100.in, room size 30, solution found
large-100.in, room size 31, solution found
large-100.in, room size 32, solution found
large-100.in, room size 33, solution found
large-100.in, room size 34, solution found
large-100.in, room size 35, solution found
large-100.in, room size 36, solution found
large-100.in, room size 37, solution found
large-100.in, room size 38, solution found
large-100.in, room size 39, solution found
large-100.in, room size 40, solution found
large-100.in, room size 41, solution found
large-100.in, room size 42, solution found
large-100.in, room size 43, solution found
large-100.in, room size 44, solution found
large-100.in, room size 45, solution found
large-100.in, room size 46, solution found
large-100.in, room size 47, solution found
large-100.in, room size 48, solution found
large-100.in, room size 49, solution found
large-100.in, room size 50, solution found
large-100.in 4829.396000000001
 
-6228.547226190567
large-99.in, room size 1, no solution
large-99.in, room size 2, no solution
large-99.in, room size 3, no solution
large-99.in, room size 4, no solution
large-99.in, room size 5, no solution
large-99.in, room size 6, no solution
large-99.in, room size 7, no solution
large-99.in, room size 8, no solution
large-99.in, room size 9, no solution
large-99.in, room size 10, no solution
large-99.in, room size 11, no solution
large-99.in, room size 12, no solution
large-99.in, room size 13, no solution
large-99.in, room size 14, solution found
large-99.in, room size 15, no solution
large-99.in, room size 16, solution found
large-99.in, room size 17, solution found
large-99.in, room size 18, solution found
large-99.in, room size 19, solution found
large-99.in, room size 20, no solution
large-99.in, room size 21, solution found
large-99.in, room size 22, solution found
large-99.in, room size 23, solution found
large-99.in, room size 24, solution found
large-99.in, room size 25, solution found
=======
large-57.in, room size 1, no solution
large-57.in, room size 2, no solution
large-57.in, room size 3, no solution
large-57.in, room size 4, no solution
large-57.in, room size 5, no solution
large-57.in, room size 6, no solution
large-57.in, room size 7, no solution
large-57.in, room size 8, no solution
large-57.in, room size 9, no solution
large-57.in, room size 10, solution found
large-57.in, room size 11, solution found
large-57.in, room size 12, solution found
large-57.in, room size 13, solution found
large-57.in, room size 14, solution found
large-57.in, room size 15, solution found
large-57.in, room size 16, solution found
large-57.in, room size 17, solution found
large-57.in, room size 18, solution found
large-57.in, room size 19, solution found
large-57.in, room size 20, solution found
large-57.in, room size 21, solution found
large-57.in, room size 22, solution found
large-57.in, room size 23, solution found
large-57.in, room size 24, solution found
large-57.in, room size 25, solution found
large-57.in, room size 26, solution found
large-57.in, room size 27, solution found
large-57.in, room size 28, solution found
large-57.in, room size 29, solution found
large-57.in, room size 30, solution found
large-57.in, room size 31, solution found
large-57.in, room size 32, solution found
large-57.in, room size 33, solution found
large-57.in, room size 34, solution found
large-57.in, room size 35, solution found
large-57.in, room size 36, solution found
large-57.in, room size 37, solution found
large-57.in, room size 38, solution found
large-57.in, room size 39, solution found
large-57.in, room size 40, solution found
large-57.in, room size 41, solution found
large-57.in, room size 42, solution found
large-57.in, room size 43, solution found
large-57.in, room size 44, solution found
large-57.in, room size 45, solution found
large-57.in, room size 46, solution found
large-57.in, room size 47, solution found
large-57.in, room size 48, solution found
large-57.in, room size 49, solution found
large-57.in, room size 50, solution found
large-57.in 848.2090000000001
 
-6221.646274089813
large-96.in, room size 1, no solution
large-96.in, room size 2, no solution
large-96.in, room size 3, no solution
large-96.in, room size 4, no solution
large-96.in, room size 5, no solution
large-96.in, room size 6, no solution
large-96.in, room size 7, no solution
large-96.in, room size 8, no solution
large-96.in, room size 9, no solution
large-96.in, room size 10, no solution
large-96.in, room size 11, no solution
large-96.in, room size 12, no solution
large-96.in, room size 13, no solution
large-96.in, room size 14, no solution
large-96.in, room size 15, no solution
large-96.in, room size 16, no solution
large-96.in, room size 17, no solution
large-96.in, room size 18, no solution
large-96.in, room size 19, no solution
large-96.in, room size 20, no solution
large-96.in, room size 21, no solution
large-96.in, room size 22, no solution
large-96.in, room size 23, no solution
large-96.in, room size 24, no solution
large-96.in, room size 25, solution found
large-96.in, room size 26, no solution
large-96.in, room size 27, no solution
large-96.in, room size 28, no solution
large-96.in, room size 29, no solution
large-96.in, room size 30, no solution
large-96.in, room size 31, no solution
large-96.in, room size 32, no solution
large-96.in, room size 33, no solution
large-96.in, room size 34, no solution
large-96.in, room size 35, no solution
large-96.in, room size 36, no solution
large-96.in, room size 37, no solution
large-96.in, room size 38, no solution
large-96.in, room size 39, no solution
large-96.in, room size 40, no solution
large-96.in, room size 41, no solution
large-96.in, room size 42, no solution
large-96.in, room size 43, no solution
large-96.in, room size 44, no solution
large-96.in, room size 45, no solution
large-96.in, room size 46, no solution
large-96.in, room size 47, no solution
large-96.in, room size 48, no solution
large-96.in, room size 49, no solution
large-96.in, room size 50, solution found
large-96.in 61.325
 
-2965.355211496353
large-48.in, room size 1, no solution
large-48.in, room size 2, no solution
large-48.in, room size 3, no solution
large-48.in, room size 4, solution found
large-48.in, room size 5, solution found
large-48.in, room size 6, solution found
large-48.in, room size 7, solution found
large-48.in, room size 8, solution found
large-48.in, room size 9, solution found
large-48.in, room size 10, solution found
large-48.in, room size 11, solution found
large-48.in, room size 12, solution found
large-48.in, room size 13, solution found
large-48.in, room size 14, solution found
large-48.in, room size 15, solution found
large-48.in, room size 16, solution found
large-48.in, room size 17, solution found
large-48.in, room size 18, solution found
large-48.in, room size 19, solution found
large-48.in, room size 20, solution found
large-48.in, room size 21, solution found
large-48.in, room size 22, solution found
large-48.in, room size 23, solution found
large-48.in, room size 24, solution found
large-48.in, room size 25, solution found
large-48.in, room size 26, solution found
large-48.in, room size 27, solution found
large-48.in, room size 28, solution found
large-48.in, room size 29, solution found
large-48.in, room size 30, solution found
large-48.in, room size 31, solution found
large-48.in, room size 32, solution found
large-48.in, room size 33, solution found
large-48.in, room size 34, solution found
large-48.in, room size 35, solution found
large-48.in, room size 36, solution found
large-48.in, room size 37, solution found
large-48.in, room size 38, solution found
large-48.in, room size 39, solution found
large-48.in, room size 40, solution found
large-48.in, room size 41, solution found
large-48.in, room size 42, solution found
large-48.in, room size 43, solution found
large-48.in, room size 44, solution found
large-48.in, room size 45, solution found
large-48.in, room size 46, solution found
large-48.in, room size 47, solution found
large-48.in, room size 48, solution found
large-48.in, room size 49, solution found
large-48.in, room size 50, solution found
large-48.in 6350.418
 
-6337.440889120102
large-92.in, room size 1, no solution
large-92.in, room size 2, no solution
large-92.in, room size 3, no solution
large-92.in, room size 4, no solution
large-92.in, room size 5, no solution
large-92.in, room size 6, no solution
large-92.in, room size 7, no solution
large-92.in, room size 8, no solution
large-92.in, room size 9, no solution
large-92.in, room size 10, no solution
large-92.in, room size 11, no solution
large-92.in, room size 12, no solution
large-92.in, room size 13, no solution
large-92.in, room size 14, no solution
large-92.in, room size 15, solution found
large-92.in, room size 16, solution found
large-92.in, room size 17, solution found
large-92.in, room size 18, solution found
large-92.in, room size 19, solution found
large-92.in, room size 20, solution found
large-92.in, room size 21, solution found
large-92.in, room size 22, solution found
large-92.in, room size 23, solution found
large-92.in, room size 24, solution found
large-92.in, room size 25, solution found
large-92.in, room size 26, solution found
large-92.in, room size 27, solution found
large-92.in, room size 28, solution found
large-92.in, room size 29, solution found
large-92.in, room size 30, solution found
large-92.in, room size 31, solution found
large-92.in, room size 32, solution found
large-92.in, room size 33, solution found
large-92.in, room size 34, solution found
large-92.in, room size 35, solution found
large-92.in, room size 36, solution found
large-92.in, room size 37, solution found
large-92.in, room size 38, solution found
large-92.in, room size 39, solution found
large-92.in, room size 40, solution found
large-92.in, room size 41, solution found
large-92.in, room size 42, solution found
large-92.in, room size 43, solution found
large-92.in, room size 44, solution found
large-92.in, room size 45, solution found
large-92.in, room size 46, solution found
large-92.in, room size 47, solution found
large-92.in, room size 48, solution found
large-92.in, room size 49, solution found
large-92.in, room size 50, solution found
large-92.in 35.159
 
-5659.1314697265625
large-80.in, room size 1, no solution
large-80.in, room size 2, solution found
large-80.in, room size 3, solution found
large-80.in, room size 4, solution found
large-80.in, room size 5, solution found
large-80.in, room size 6, solution found
large-80.in, room size 7, solution found
large-80.in, room size 8, solution found
large-80.in, room size 9, solution found
large-80.in, room size 10, solution found
large-80.in, room size 11, solution found
large-80.in, room size 12, solution found
large-80.in, room size 13, solution found
large-80.in, room size 14, solution found
large-80.in, room size 15, solution found
large-80.in, room size 16, solution found
large-80.in, room size 17, solution found
large-80.in, room size 18, solution found
large-80.in, room size 19, solution found
large-80.in, room size 20, solution found
large-80.in, room size 21, solution found
large-80.in, room size 22, solution found
large-80.in, room size 23, solution found
large-80.in, room size 24, solution found
large-80.in, room size 25, solution found
large-80.in, room size 26, solution found
large-80.in, room size 27, solution found
large-80.in, room size 28, solution found
large-80.in, room size 29, solution found
large-80.in, room size 30, solution found
large-80.in, room size 31, solution found
large-80.in, room size 32, solution found
large-80.in, room size 33, solution found
large-80.in, room size 34, solution found
large-80.in, room size 35, solution found
large-80.in, room size 36, solution found
large-80.in, room size 37, solution found
large-80.in, room size 38, solution found
large-80.in, room size 39, solution found
large-80.in, room size 40, solution found
large-80.in, room size 41, solution found
large-80.in, room size 42, solution found
large-80.in, room size 43, solution found
large-80.in, room size 44, solution found
large-80.in, room size 45, solution found
large-80.in, room size 46, solution found
large-80.in, room size 47, solution found
large-80.in, room size 48, solution found
large-80.in, room size 49, solution found
large-80.in, room size 50, solution found
large-80.in 35100.0
 
-6332.773127794266
large-93.in, room size 1, no solution
large-93.in, room size 2, no solution
large-93.in, room size 3, no solution
large-93.in, room size 4, no solution
large-93.in, room size 5, no solution
large-93.in, room size 6, no solution
large-93.in, room size 7, no solution
large-93.in, room size 8, solution found
large-93.in, room size 9, solution found
large-93.in, room size 10, solution found
large-93.in, room size 11, solution found
large-93.in, room size 12, solution found
large-93.in, room size 13, solution found
large-93.in, room size 14, solution found
large-93.in, room size 15, solution found
large-93.in, room size 16, solution found
large-93.in, room size 17, solution found
large-93.in, room size 18, solution found
large-93.in, room size 19, solution found
large-93.in, room size 20, solution found
large-93.in, room size 21, solution found
large-93.in, room size 22, solution found
large-93.in, room size 23, solution found
large-93.in, room size 24, solution found
large-93.in, room size 25, solution found
large-93.in, room size 26, solution found
large-93.in, room size 27, solution found
large-93.in, room size 28, solution found
large-93.in, room size 29, solution found
large-93.in, room size 30, solution found
large-93.in, room size 31, solution found
large-93.in, room size 32, solution found
large-93.in, room size 33, solution found
large-93.in, room size 34, solution found
large-93.in, room size 35, solution found
large-93.in, room size 36, solution found
large-93.in, room size 37, solution found
large-93.in, room size 38, solution found
large-93.in, room size 39, solution found
large-93.in, room size 40, solution found
large-93.in, room size 41, solution found
large-93.in, room size 42, solution found
large-93.in, room size 43, solution found
large-93.in, room size 44, solution found
large-93.in, room size 45, solution found
large-93.in, room size 46, solution found
large-93.in, room size 47, solution found
large-93.in, room size 48, solution found
large-93.in, room size 49, solution found
large-93.in, room size 50, solution found
large-93.in 755.0
 
-6219.7859518527985
large-60.in, room size 1, no solution
large-60.in, room size 2, no solution
large-60.in, room size 3, no solution
large-60.in, room size 4, no solution
large-60.in, room size 5, no solution
large-60.in, room size 6, no solution
large-60.in, room size 7, no solution
large-60.in, room size 8, no solution
large-60.in, room size 9, no solution
large-60.in, room size 10, no solution
large-60.in, room size 11, no solution
large-60.in, room size 12, no solution
large-60.in, room size 13, no solution
large-60.in, room size 14, no solution
large-60.in, room size 15, no solution
large-60.in, room size 16, solution found
large-60.in, room size 17, solution found
large-60.in, room size 18, solution found
large-60.in, room size 19, solution found
large-60.in, room size 20, solution found
large-60.in, room size 21, solution found
large-60.in, room size 22, solution found
large-60.in, room size 23, solution found
large-60.in, room size 24, solution found
large-60.in, room size 25, solution found
large-60.in, room size 26, solution found
large-60.in, room size 27, solution found
large-60.in, room size 28, solution found
large-60.in, room size 29, solution found
large-60.in, room size 30, solution found
large-60.in, room size 31, solution found
large-60.in, room size 32, solution found
large-60.in, room size 33, solution found
large-60.in, room size 34, solution found
large-60.in, room size 35, solution found
large-60.in, room size 36, solution found
large-60.in, room size 37, solution found
large-60.in, room size 38, solution found
large-60.in, room size 39, solution found
large-60.in, room size 40, solution found
large-60.in, room size 41, solution found
large-60.in, room size 42, solution found
large-60.in, room size 43, solution found
large-60.in, room size 44, solution found
large-60.in, room size 45, solution found
large-60.in, room size 46, solution found
large-60.in, room size 47, solution found
large-60.in, room size 48, solution found
large-60.in, room size 49, solution found
large-60.in, room size 50, solution found
large-60.in 132.0
 
-6195.94499206543
large-97.in, room size 1, no solution
large-97.in, room size 2, no solution
large-97.in, room size 3, no solution
large-97.in, room size 4, no solution
large-97.in, room size 5, no solution
large-97.in, room size 6, no solution
large-97.in, room size 7, no solution
large-97.in, room size 8, no solution
large-97.in, room size 9, no solution
large-97.in, room size 10, no solution
large-97.in, room size 11, no solution
large-97.in, room size 12, no solution
large-97.in, room size 13, no solution
large-97.in, room size 14, no solution
large-97.in, room size 15, no solution
large-97.in, room size 16, no solution
large-97.in, room size 17, no solution
large-97.in, room size 18, no solution
large-97.in, room size 19, no solution
large-97.in, room size 20, no solution
large-97.in, room size 21, no solution
large-97.in, room size 22, no solution
large-97.in, room size 23, no solution
large-97.in, room size 24, no solution
large-97.in, room size 25, solution found
large-97.in, room size 26, solution found
large-97.in, room size 27, solution found
large-97.in, room size 28, solution found
large-97.in, room size 29, solution found
large-97.in, room size 30, solution found
large-97.in, room size 31, solution found
large-97.in, room size 32, solution found
large-97.in, room size 33, solution found
